Avg,Peak,Min,RMS,Label
97.6,491,0,125.9,Talking
76.6,560,0,104.3,Talking
74.5,505,0,111.6,Talking
187.7,547,0,225.6,Talking
53.4,416,0,81.9,Talking
112.9,428,1,146.4,Talking
427.5,1292,1,522.9,Talking
117.3,532,0,162.9,Talking
34.6,148,0,43.7,Talking
31.4,156,0,42.0,Talking
87.5,333,0,108.0,Talking
120.4,569,0,158.8,Talking
25.1,100,0,31.8,Talking
179.6,616,3,223.5,Talking
510.9,1259,1,595.9,Talking
84.7,393,0,112.7,Talking
28.3,95,0,35.4,Talking
22.9,116,0,29.3,Talking
95.9,380,0,118.0,Talking
64.4,167,1,74.5,Talking
130.3,477,7,160.0,Talking
350.5,1168,0,444.2,Talking
169.8,899,0,222.1,Talking
230.2,657,1,269.9,Talking
422.5,7496,0,1147.6,Clap
623.3,9068,4,1219.3,Clap
172.7,728,1,222.3,Clap
91.0,324,0,114.7,Clap
131.3,461,0,163.2,Clap
58.4,300,0,74.7,Clap
16.6,61,0,20.3,Clap
33.1,135,0,42.5,Clap
42.4,160,0,52.9,Clap
34.3,140,0,42.9,Clap
345.0,1277,4,439.8,Clap
22.8,75,0,28.6,Clap
75.7,299,0,94.2,Clap
11.1,36,0,13.6,Clap
124.6,423,1,152.6,Clap
51.2,216,0,65.7,Clap
41.9,176,0,53.7,Clap
14.4,52,0,18.4,Clap
334.1,8144,0,982.2,Clap
87.9,320,1,111.1,Clap
64.9,236,0,81.3,Table Dragging
5.6,20,0,7.0,Table Dragging
6.0,20,0,7.4,Table Dragging
4.8,16,0,5.9,Table Dragging
41.9,204,0,50.8,Table Dragging
6.3,19,0,7.9,Table Dragging
27.1,60,0,30.7,Table Dragging
14.4,145,0,21.1,Table Dragging
57.9,225,0,74.5,Table Dragging
128.5,595,0,193.1,Table Dragging
379.3,1732,1,470.7,Table Dragging
5.6,15,0,6.7,Table Dragging
389.3,2127,3,534.0,Table Dragging
78.4,288,0,96.0,Table Dragging
489.1,5536,0,1021.7,Table Dragging
122.1,587,0,154.3,Table Dragging
925.7,8385,0,1764.3,Table Dragging
40.3,153,0,51.0,Table Dragging
201.4,5199,0,651.1,Table Dragging
93.9,400,0,117.1,Table Dragging
38.4,157,0,48.0,Table Dragging
33.1,139,0,41.4,Table Dragging
367.8,7575,0,996.6,Table Dragging
223.4,2228,0,345.1,Table Dragging
277.0,788,4,340.1,Table Dragging
324.4,891,0,385.3,Table Dragging
36.2,121,0,45.7,Table Dragging
26.0,84,0,31.9,Table Dragging
8.4,32,0,10.6,Table Dragging
465.2,2080,3,579.4,Table Dragging
271.5,799,0,334.8,Table Dragging
147.2,565,0,198.7,Table Dragging
184.0,601,0,225.0,Table Dragging
399.2,1585,3,501.6,Table Dragging
193.7,624,0,240.8,Table Dragging
80.1,356,1,102.7,Table Dragging
20.3,79,0,25.6,Table Dragging
10.2,40,0,13.2,Table Dragging
40.3,76,0,45.0,Table Dragging
7.4,24,0,8.9,Table Dragging
3341.8,8817,36,3712.8,Object Drop
146.9,171,123,147.3,Object Drop
6.0,21,0,7.4,Object Drop
5.0,16,0,6.3,Object Drop
4.5,16,0,5.6,Object Drop
4276.4,9231,1739,4493.5,Object Drop
232.9,1084,3,291.3,Object Drop
9.9,28,0,11.5,Object Drop
4.3,13,0,5.3,Object Drop
24.5,109,0,30.1,Talking
13.5,55,0,17.3,Talking
4.7,15,0,5.9,Talking
27.5,104,0,34.2,Talking
17.6,72,0,22.3,Talking
7.4,25,0,9.2,Talking
8.1,29,0,10.0,Talking
28.7,95,0,35.4,Talking
13.7,43,0,16.6,Talking
41.0,139,0,52.4,Talking
7.4,20,0,8.8,Talking
4.5,16,0,5.7,Talking
22.5,84,0,27.7,Talking
23.2,105,0,29.0,Talking
19.8,65,0,24.4,Talking
9.3,36,0,11.7,Talking
13.9,44,0,17.5,Talking
53.5,116,0,60.9,Talking
9.4,32,0,11.6,Talking
9.9,32,0,12.3,Talking
52.9,191,0,65.4,Talking
17.3,61,0,21.9,Talking
66.8,241,0,81.7,Talking
9.7,28,0,11.8,Ring Phone
37.6,104,0,46.0,Ring Phone
9.7,32,0,11.6,Ring Phone
102.5,228,0,119.6,Ring Phone
20.1,52,0,24.3,Ring Phone
124.4,353,0,157.4,Ring Phone
25.4,60,0,30.3,Ring Phone
6.0,19,0,7.5,Ring Phone
122.7,333,0,151.4,Ring Phone
14.4,40,0,16.8,Ring Phone
136.6,340,1,163.7,Ring Phone
10.3,36,0,13.3,Ring Phone
3.8,13,0,4.9,Ring Phone
41.3,140,0,54.0,Ring Phone
10.5,32,0,12.6,Ring Phone
66.7,200,0,83.5,Ring Phone
9.2,47,0,12.6,Ring Phone
20.0,10000,0,450.0,Notification
